Name,Price,Product URL,Image URL
ADIDAS Deportivo III Turf Boots,"EGP 1,476.00",https://www.jumia.com.eg/adidas-deportivo-iii-turf-boots-132013520.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/5310231/1.jpg?2135
ADIDAS X_PLR Pulse Shoes,"EGP 2,257.00",https://www.jumia.com.eg/adidas-xplr-pulse-shoes-132013486.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/4310231/1.jpg?3230
ADIDAS LIT50 Grand Court Base 2.0 Tennis Shoes - Core Black,"EGP 5,314.00",https://www.jumia.com.eg/adidas-lit50-grand-court-base-2.0-tennis-shoes-core-black-51878560.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/587815/1.jpg?1273
ADIDAS Advantage Base 2.0 Shoes - white,"EGP 2,426.00",https://www.jumia.com.eg/adidas-advantage-base-2.0-shoes-white-130079884.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/8970031/1.jpg?7583
ADIDAS IF1402 Deportivo III Flexible Ground Boots,"EGP 2,621.00",https://www.jumia.com.eg/adidas-if1402-deportivo-iii-flexible-ground-boots-122754713.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/7457221/1.jpg?9371
ADIDAS LIT48 Advantage Base Tennis Shoes - Ftwr White,"EGP 4,190.00",https://www.jumia.com.eg/adidas-lit48-advantage-base-tennis-shoes-ftwr-white-51878610.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/687815/1.jpg?9574
ADIDAS Cloudfoam Go Lounger Sportwear Shoes - Maroon/Cblack/Cwhite,"EGP 1,793.00",https://www.jumia.com.eg/adidas-cloudfoam-go-lounger-sportwear-shoes-marooncblackcwhite-133009548.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/5900331/1.jpg?4395
ADIDAS Advantage Base 2.0 Shoes Sportswear Shoes - Black,"EGP 2,426.00",https://www.jumia.com.eg/adidas-advantage-base-2.0-shoes-sportswear-shoes-black-131457275.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/2754131/1.jpg?8254
ADIDAS RUN 70s 2.0 Shoes,"EGP 2,959.00",https://www.jumia.com.eg/adidas-run-70s-2.0-shoes-132013498.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/4310231/1.jpg?3485
ADIDAS Deportivo III Flexible Ground Boots,"EGP 1,476.00",https://www.jumia.com.eg/adidas-deportivo-iii-flexible-ground-boots-132013505.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/5310231/1.jpg?3000
